M0,X4,2011,4,42,Acura,Touring car,YOcqabY2uvMtcPE9O
M1,i3,2005,4,21,Alfa Romeo,Hatchback,BZo8scl6uJb8Uec98
M2,Series 62,2006,3,16,Audi,Hearse,b2rnQexTKl9ffGexu
M3,SpaceFox,2014,3,40,BMW,Brougham,m4w70Nel9llagSjPh
M4,Mohave,2009,2,28,Bentley,Coupe de Ville,CAsSFav3M8yEbUdn0
M5,Sorento,2008,2,28,Bugatti,Professional car,SyIzt3ACi1KSmrDNo
M6,250 Isetta,2018,3,37,Buick,Combination car,hGjwfHlgrzFxs2NpY
M7,Fleetwood Limousine,2012,2,36,Cadillac,Landau,BxIeIud2uZtzzLhbk
M8,Potentia,2012,2,41,Chevrolet,Roadster,7TbjA6yq20IsQjfpp
M9,S-503,2015,4,42,Chrysler,Dune buggy,ov4kEPbUlhDAAh41O
M10,XTS,2016,4,36,Dodge,Landaulet,OZNvj17VXUmX70dfE
M11,XTS,2014,3,27,Fiat,Coupé utility,5DuRrvBaoijfwUQSq
M12,Fusca,2000,2,39,Ford,Landau,fQcip2ilc5Lqh84jc
M13,Pointer,2013,3,35,GMC,Forecar,o65KkmAmPo0rtrcd5
M14,Soul,2007,3,42,Genesis,Hearse,ffPbA8nQya5hmuyVe
M15,Apollo,2019,2,16,Acura,Combination car,YyrKX0qe0PEmPc349
M16,Brougham,2010,3,24,Alfa Romeo,Sedan,0hj6H9icwZVMWD1K6
M17,Cruze,2020,4,25,Audi,Quad coupé,0zwMbxjkknWlO6iPs
M18,S-507,2020,4,19,BMW,Dune buggy,3N1tLwkJif9UYYMHM
M19,Escalade,2002,4,41,Bentley,Station wagon,LPLEGU2UymY3gigYq
M20,S-6200,2017,2,22,Bugatti,Compact van,QTjpIhKiU7XLRiw8b
M21,Picanto,2010,4,31,Buick,Cab forward,CT7nkD537kgnGwR7T
M22,Sorento,2003,2,42,Cadillac,Fastback,PeIbvJyComkSwRzsa
M23,Z1,2004,3,34,Chevrolet,Coupé,Sj4Xk7wWseG1mjms5
M24,Brougham,2011,2,34,Chrysler,Hardtop,PCjycbWCAf3Nyxjae
